Buyer ID,Name,Preferred Art Styles,Favorite Mediums,Buying Motivation
0d14e417-be91-41fe-ad0d-7507adfbbb9c,Amanda Tucker,"Expressive Figurative, Abstract, Contemporary Surrealism","Oil, Acrylic","Build a Collection, Support Artists, Inspire Me"
4f194c1a-6708-4af7-8990-27a4c33579fe,Eduardo Buck,Expressive Figurative,"Sculpture, Watercolor","Build a Collection, Decorate Home/Space, Inspire Me"
0d5a157c-9770-4b5c-a6ea-90d19072abb5,Tyler Chandler,Abstract,"Oil, Mixed Media, Digital","Build a Collection, Decorate Home/Space, Support Artists"
439af199-15e1-4694-aed1-30bddab21e16,Melanie Douglas,Expressive Figurative,"Ceramics, Watercolor, Oil","Build a Collection, Decorate Home/Space, Support Artists"
a797007c-9bda-44c7-8ff8-94fdf6d8e572,Douglas Farrell,"Expressive Figurative, Contemporary Surrealism",Sculpture,Build a Collection
d1f11790-ab00-4855-bb16-7daae10f76f3,Natalie Hughes,"Realist Figurative, Abstract, Expressive Figurative","Digital, Oil","Decorate Home/Space, Support Artists"
b440be60-9dc3-4d8e-940b-928a07ccfe8c,Morgan Price,Abstract,Digital,"Build a Collection, Support Artists, Inspire Me"
e0386833-cb17-4c28-ac2f-c55ccf1ab09e,Ann Duffy,Abstract,"Acrylic, Ceramics, Digital","Build a Collection, Decorate Home/Space, Support Artists"
5222945d-929e-4570-b55f-decb96e6a77f,Tracie Khan,"Expressive Figurative, Street Art, Conceptual","Digital, Sculpture","Build a Collection, Decorate Home/Space, Support Artists, Inspire Me"
3cec0f94-306c-462b-9171-6aeb2a774522,Amanda Richardson,"Conceptual, Expressive Figurative",Acrylic,"Build a Collection, Decorate Home/Space, Inspire Me"
d1539383-a1b7-4535-af16-ef2a3a86d701,Suzanne Lopez,"Abstract, Expressive Figurative","Digital, Oil, Acrylic","Decorate Home/Space, Support Artists"
054927fe-8073-4ea1-8b08-5b2a6e4d6a54,Amy Newman,"Abstract, Neo-Abstract Expressionist","Mixed Media, Digital","Build a Collection, Decorate Home/Space, Support Artists, Investment"
ef3c377e-77f6-4bc2-8f06-07e3834f16cb,Mary Nielsen,"Expressive Figurative, Realist Figurative, Minimalist","Digital, Oil","Build a Collection, Support Artists"
0c0f9dad-3f7b-4279-9c9f-ba7c5bfa63de,Timothy Hughes,"Abstract, Realist Figurative","Watercolor, Oil, Acrylic","Decorate Home/Space, Support Artists, Inspire Me"
11fd4536-b2f0-4025-80b3-eb35277eff99,Jeffrey Cooke,"Expressive Figurative, Abstract, Contemporary Surrealism","Oil, Watercolor","Decorate Home/Space, Support Artists, Investment"
60cc4a16-12da-495c-8e8e-204a420c614a,Kevin Mann Jr.,Abstract,"Digital, Oil",Build a Collection
2daaaabe-a837-46c1-b0b8-445e169d6d34,Kyle Green,Expressive Figurative,Mixed Media,"Decorate Home/Space, Investment"
4456aac2-edfc-42f5-9cbd-390290b75fc4,Michael Mejia,Realist Figurative,"Oil, Digital, Sculpture",Investment
e66ee691-cf2c-4741-a203-2580a18fa05f,Ashley Griffin,"Abstract, Expressive Figurative","Oil, Ceramics","Build a Collection, Support Artists, Inspire Me"
6ec591c3-e830-4817-9e11-2547c2048524,Lisa Herman,Abstract,"Oil, Digital","Decorate Home/Space, Support Artists, Inspire Me, Investment"
2e808f94-d070-4319-bb84-89d74a095e70,Erica Garrett,Other,"Watercolor, Photography, Oil","Build a Collection, Inspire Me"
10744401-7f7f-45fb-9de7-e376efc3cb05,Melissa Carey,"Realist Figurative, Street Art","Digital, Acrylic","Decorate Home/Space, Support Artists, Inspire Me"
b9574259-7ea3-44b6-a9c0-5d2be00808a3,Rachel Stewart,"Conceptual, Realist Figurative, Abstract","Photography, Oil","Decorate Home/Space, Support Artists"
be7992fc-d181-4ec3-bf3f-9c17071782af,Michael Goodman,"Minimalist, Abstract, Landscape","Oil, Sculpture, Ceramics",Inspire Me
2a08e577-d01d-4461-a27e-e4b201aff402,Kristina Allen,"Contemporary Surrealism, Realist Figurative","Watercolor, Oil","Build a Collection, Decorate Home/Space, Inspire Me"
330f9ce2-5496-4ea7-ae52-bf9761e598d1,Dr. Susan Perez,"Abstract, Landscape","Digital, Photography, Oil","Build a Collection, Decorate Home/Space"
e7f43c7d-98fb-4908-b20b-c9cdab4c752b,Paul Huff,"Abstract, Realist Figurative, Landscape","Ceramics, Mixed Media, Sculpture",Inspire Me
510545bd-b3a1-4836-bd71-c741d8acc489,Harold Deleon,Other,"Oil, Mixed Media","Build a Collection, Support Artists"
71beee7d-23b9-4fdd-b2f8-a496299862d5,Brittany Smith,"Minimalist, Expressive Figurative","Acrylic, Watercolor","Build a Collection, Decorate Home/Space, Support Artists, Investment"
4fa5bff4-6feb-4987-a4f5-29997c0baae6,Chad Shaw,"Street Art, Abstract",Oil,"Build a Collection, Support Artists, Inspire Me"
